名称,大类,中类,地址,经度,纬度,省份,城市,区域,教育质量,消费场所,医疗健康,旅游资源,交通运输
扬州路208弄30号,商务住宅,其他,许昌路212号附近,121.523589,31.254005,上海市,上海市,杨浦区,0.6671112345917632,0.24190565481721993,0.23569941894449672,0.2306818384974136,0.5679625873786384
杨树浦路1001弄小区,商务住宅,住宅区,杨树浦路1001弄8-38号,121.529429,31.253099,上海市,上海市,杨浦区,0.6658085007203175,0.16906328273243826,0.35531053807434004,0.22575585839658344,0.5689674070400985
知音阁,酒店住宿,其他,共青路21号(近巴士公交总站),121.562591,31.273947,上海市,上海市,杨浦区,0.20965799845461836,0.16465156706202275,0.19173527808565627,0.19250300191724742,0.16018189537964786
航道公寓楼,商务住宅,其他,共青路82号,121.563601,31.275271,上海市,上海市,杨浦区,0.2034879400041194,0.15927870965274618,0.1888140591050906,0.19023402252532715,0.15809691112877977
上海海洋渔业有限公司招待所,酒店住宿,旅馆招待所,共青路457号,121.560974,31.290612,上海市,上海市,杨浦区,0.19139570109909676,0.14495144849568983,0.18519549989381234,0.18542570181341067,0.15338933478208477
友谊物流复兴岛共青路210号库区,商务住宅,产业园区,复兴岛(地铁站)2号口步行392米,121.562802,31.283932,上海市,上海市,杨浦区,0.19519600141882842,0.14854581390640784,0.1862594433187427,0.1870280018146765,0.1559410258853242
上理小区,商务住宅,住宅区,军工路516弄,121.55342,31.291954,上海市,上海市,杨浦区,0.4192538266051549,0.2688388095128344,0.2097647834468475,0.20372141227919527,0.16888987725158497
军工路600弄小区,商务住宅,住宅区,民治路与军工路辅路交叉口东60米,121.550516,31.292017,上海市,上海市,杨浦区,0.6671883488092318,0.5316179802498254,0.23077582356505888,0.21716449830114903,0.1801110349453125
鑫民园区,商务住宅,产业园区,民治路7号,121.550778,31.293288,上海市,上海市,杨浦区,0.6685840601602102,0.5166067764013892,0.22515443747756544,0.21328493161383685,0.17550523898314505
嘉御影视产业园A区,商务住宅,产业园区,军工路1076号174幢,121.551076,31.297406,上海市,上海市,杨浦区,0.29469250205653813,0.17612678875427004,0.20922062902510977,0.2042756129377536,0.1684408420937859
上海理工大学军工路校区先进制造科技创新基地,商务住宅,产业园区,军工路580号,121.554147,31.293781,上海市,上海市,杨浦区,0.23383298117162596,0.16759484769460894,0.20162932770059408,0.19794812446491022,0.1629989366382859
民治路12弄,商务住宅,住宅区,民治路12弄1-41号,121.552181,31.294549,上海市,上海市,杨浦区,0.40693167052729146,0.2776300029487746,0.2113502664820745,0.20440641821398844,0.1678052523455474
上海理工大学第三学生宿舍,商务住宅,宿舍,上海理工大学军工路校区第三学生公寓1号楼,121.556738,31.293775,上海市,上海市,杨浦区,0.20948601999408195,0.15356091420753876,0.1912324153048929,0.19034742989888268,0.15701671333203576
